id,family,accuracy,x1_0,x1_1,x1_2,x1_3,x1_4,x1_5,x1_6,x1_7,x1_8,x1_9,x2_0,x2_1,x2_2,x2_3,x2_4,x2_5,x2_6,x2_7,x2_8,x2_9,x2_10,x2_11,x3_0,x3_1,x3_2,x3_3,x3_4,x3_5,x3_6,x3_7,x3_8,x3_9,x3_10,x3_11,x3_12,x3_13,x3_14,x3_15,x3_16,x3_17,x3_18,x3_19,x3_20,x3_21
1,A_Shallow,49.830000000000005,0.058544303797468354,0.41347021034521025,0.596830985915493,4.625,3.4109199638807124,0.175,0.1375,2.3125,0.030136319376825704,0.0412943777781554,0.26054621898398106,0.13157948817679763,0.6587957739830017,12.766764730215073,49.0,0.303429514169693,0.020469231903553008,0.012219857146058482,0.03964555263519287,0.2046923190355301,10.0,0.02968326210975647,0.009379957031734526,0.06624611713476418,0.09562414513394836,0.7410166055070275,0.5464969369277921,0.028038466154319958,0.022030223406965685,0.37050830275351376,0.004828435262073738,0.006616177221122928,0.005047368063172063,0.002548991533947098,0.012762360408534514,0.24732103509543107,0.9492405457268865,0.0058781142371445595,0.00039653520128038477,0.00023672620134753363,0.0007680237963076426,0.003965352012803848,0.19372256035242583,0.0005750317535514173
2,A_Shallow,53.47,0.028164556962025317,0.18083333333333337,0.31221719457013575,2.225,1.6731332881752128,0.075,0.2375,1.1125,0.014094449853943525,0.02286381895551412,0.3087693732611987,0.12391969370097941,0.7201128602027893,15.129699289798737,49.0,0.34207525849342346,0.018285419791936874,0.012763570672565297,0.049425989389419556,0.29256671667099,16.0,0.02463063970208168,0.009294989085344013,0.05967939995882114,0.10303927094251912,0.734304137742177,0.5521746950567339,0.02475182486771383,0.07838077874776046,0.3671520688710885,0.004651511391887799,0.007545616567920017,0.005746853673955348,0.0023064086295193015,0.013402829408271952,0.28159583002381205,0.911994046072699,0.00636674691948534,0.00034033048939155757,0.0002375571522450544,0.0009199226131510823,0.005445287830264921,0.29779397422782006,0.0004584285052910271
3,A_Shallow,54.59,0.02911392405063291,0.23589285714285713,0.37786259541984735,2.3,1.8867962264113207,0.1,0.225,1.15,0.008041220382992535,0.014926989543137942,0.308817912729419,0.12503303616859662,0.7175819277763367,15.132077723741531,49.0,0.3599533438682556,0.030111685395240784,0.01798139856021486,0.06444060802459717,0.3613402247428894,12.0,0.040735065937042236,0.009013691333575706,0.0730325942453903,0.11698652492515034,0.7120816153524807,0.5841534368451906,0.030960070232716557,0.06966015802361225,0.35604080767624036,0.002489567478142008,0.004621406446185763,0.00586247410266099,0.0023735764873125003,0.013622284507221102,0.28726123103038853,0.930196142093875,0.006833208404082477,0.0005716280323795399,0.00034135158306457594,0.0012233143873196712,0.00685953638855448,0.22780313683931633,0.0007732979833178839
4,A_Shallow,50.73,0.07626582278481013,0.34260460332151504,0.4503464203233256,6.025,4.883582189336021,0.25,0.0625,3.0125,0.02506491398896462,0.031719225887780096,0.22839120167250537,0.15064298703948198,0.7998936772346497,11.191168881952763,49.0,0.3046473264694214,0.013265180800642287,0.012590376689820224,0.04273641109466553,0.092856265604496,7.0,0.012829229235649109,0.009140404919554937,0.041060919391088684,0.05397369995524567,0.7220919886448399,0.5852938713374554,0.029962323180283815,0.007490580795070954,0.36104599432241996,0.0030040122136934986,0.003801526788312368,0.004499884046955701,0.002968047670841274,0.015759927576414364,0.2204943183008293,0.9654238722251676,0.006002322481288849,0.00026135759621067397,0.0002480622493195863,0.0008420153364085429,0.0018295031734747178,0.1379176960321668,0.0002527682482927488
5,A_Shallow,57.4,0.025632911392405065,0.1713771645021645,0.42748091603053434,2.025,2.783769925837981,0.1375,0.45,1.0125,0.006077572216812722,0.012607542963269831,0.2683959528043562,0.14028451056766475,0.746860146522522,13.151401687413454,49.0,0.32247084379196167,0.01608864963054657,0.007923840706927449,0.03168320655822754,0.2091524451971054,13.0,0.02100542187690735,0.007026137567439683,0.04697552748794367,0.11717512995326795,0.5550648678277349,0.7630483387397937,0.03768958979077213,0.12334774840616332,0.27753243391386745,0.0016658996638215643,0.003455804527674004,0.005123928141585092,0.0026781616638240236,0.01425825420469233,0.25107247893766954,0.935455532448679,0.006156268058746618,0.00030714727156169763,0.00015127348219463947,0.000604861854298127,0.003992914530302069,0.24818208003740463,0.00040101302257492845
6,A_Shallow,56.71000000000001,0.05443037974683544,0.2633460922247687,0.442484121383204,4.3,4.608144962997583,0.225,0.175,2.15,0.019466082440765985,0.02927246903222045,0.24195528577785103,0.1678584454948477,0.7716248631477356,11.8558090031147,49.0,0.30585768818855286,0.015741235017776488,0.012844424548013754,0.03932651877403259,0.07870617508888245,5.0,0.01918274164199829,0.008141358365845227,0.03938967394713832,0.06618402848064395,0.6431673109017729,0.6892577218829549,0.03365410347741835,0.026175413815769828,0.32158365545088646,0.0029116157900510886,0.004378394230443872,0.00477521629789967,0.003312845107269305,0.015228746131839914,0.23398559859708384,0.9670613222804957,0.006036390619781173,0.00031066815409426475,0.0002534968609660049,0.0007761460254347897,0.001553340770471324,0.09867972676331589,0.00037858954076073456
7,A_Shallow,57.199999999999996,0.020253164556962026,0.10959325396825396,0.484304932735426,1.6,2.1482551058940835,0.1125,0.5125,0.8,0.0060938007140538784,0.013420075144728745,0.3048820497125995,0.14052248305128823,0.7941378355026245,14.939220435917377,49.0,0.3644021451473236,0.012415064374605815,0.010484390705109965,0.04525354504585266,0.18622596561908722,15.0,0.01441200077533722,0.007014147875292367,0.037954724917472885,0.1677262042376527,0.554117682148097,0.7439913374630277,0.03896139952603807,0.1774908200630623,0.2770588410740485,0.002110426704464971,0.004647688083406487,0.005710870209993633,0.002632184030015634,0.014875320182594996,0.279832640289688,0.9178390152961625,0.006825765430078138,0.00023255164204952385,0.0001963874049134361,0.0008476626372152233,0.0034882746307428577,0.2809711271314783,0.00026995707347108255
8,A_Shallow,57.95,0.04208860759493671,0.2234045815295816,0.31234866828087166,3.325,3.594353210245204,0.1875,0.3,1.6625,0.012609542356377798,0.02402625410702923,0.23791041046533049,0.16835510382855595,0.754840075969696,11.657610112801194,49.0,0.3075717091560364,0.012115448713302612,0.00970175934018958,0.03108036518096924,0.07269269227981567,6.0,0.01470964401960373,0.008097850898694357,0.042983056334926,0.060095904537562445,0.6397302209968542,0.6915537965506515,0.03607501246222862,0.05772001993956579,0.3198651104984271,0.0024260767874630866,0.004622652887102672,0.004689625957039586,0.003318570479409701,0.014879204347373755,0.22979167189493974,0.9658748074348186,0.006062770721499687,0.0002388164631213792,0.00019123846805070536,0.0006126477904933163,0.0014328987787282752,0.11827038458385533,0.0002899525425483568
9,A_Shallow,53.080000000000005,0.2993670886075949,0.620532086832899,0.6583297302690657,23.65,14.69702350818015,0.6375,0.0625,11.825,0.00963972736124635,0.010443909685715186,0.15535872592115585,0.1326764692749326,0.6551814675331116,7.6125775701366365,49.0,0.2363036572933197,0.007109331898391247,0.007309427476971185,0.019721075892448425,0.028437327593564987,4.0,0.007782504893839359,0.009888807608593739,0.020497652063861654,0.02174619820745065,0.7812158010789054,0.4854776741403155,0.02105814262950538,0.00206452378720641,0.3906079005394527,0.000318423143031641,0.00034498719964151073,0.0031225254028785007,0.00266663905241766,0.013168367362291612,0.15300374474104653,0.9848416549109417,0.004749422141025734,0.00014288910596168942,0.0001469107888341186,0.00039637014323557515,0.0005715564238467577,0.08039523713558708,0.00015641908161227055
10,A_Shallow,57.28,0.010443037974683544,0.11708333333333334,0.36363636363636365,0.825,0.9845684333757608,0.0625,0.6375,0.4125,0.00011765660499837715,0.0004481056608723005,0.27580111481401387,0.12777540165137877,0.6990007162094116,13.514254625886679,49.0,0.3373367190361023,0.014699272811412811,0.010538676100554286,0.04501301050186157,0.20578981935977936,14.0,0.019481301307678223,0.006774173358054147,0.07594943150274949,0.23588306128320774,0.5351596952862775,0.6386682942955877,0.04054240115805133,0.41353249181212354,0.26757984764313875,7.63213004598175e-05,0.0002906764714284562,0.00523051357526676,0.0024232352119874043,0.013256410285796065,0.2562951651880712,0.929275305362357,0.006397524134534889,0.00027876880062102514,0.00019986390717260323,0.0008536628383550285,0.003902763208694352,0.26550723010353056,0.00036945902492956665
